trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4705_50000203","05:33:00","05:33:00","9@ST010_613","1","0"
"4705_50000203","05:33:00","05:33:00","9@ST742_613","2",".344"
"4705_50000203","05:34:00","05:34:00","9@ST743_613","3","1.074"
"4705_50000203","05:35:00","05:35:00","9@ST744_613","4","1.408"
"4705_50000203","05:36:00","05:36:00","9@ST745_613","5","1.984"
"4705_50000203","05:37:00","05:37:00","9@TU746_613","6","2.586"
"4705_50000203","05:38:00","05:38:00","9@TU747_613","7","3.562"
"4705_50000203","05:39:00","05:39:00","9@TU748_613","8","3.904"
"4705_50000203","05:40:00","05:40:00","9@TU749_613","9","4.157"
"4705_50000203","05:41:00","05:41:00","9@TU750_613","10","4.726"
"4705_50000203","05:42:00","05:42:00","9@TU751_613","11","5.068"
"4705_50000203","05:42:00","05:42:00","9@TU709_613","12","5.4"
"4705_50000203","05:42:00","05:42:00","9@TU304_613","13","5.787"
"4705_50000203","05:43:00","05:43:00","9@TU711_613","14","6.063"
"4705_50000203","05:44:00","05:44:00","9@TU712_613","15","6.388"
"4705_50000203","05:45:00","05:45:00","9@TU752_613","16","6.993"
"4705_50000204","05:45:00","05:45:00","9@TU752_613","1","0"
"4705_50000204","05:46:00","05:46:00","9@TU753_613","2",".367"
"4705_50000204","05:47:00","05:47:00","9@TU754_613","3",".848"
"4705_50000204","05:48:00","05:48:00","9@TU283_613","4","1.092"
"4705_50000204","05:49:00","05:49:00","9@TU756_613","5","1.515"
"4705_50000204","05:50:00","05:50:00","9@TU284_613","6","1.709"
"4705_50000204","05:50:00","05:50:00","9@TU757_613","7","1.83"
"4705_50000204","05:51:00","05:51:00","9@TU800_613","8","2.728"
"4705_50000204","05:52:00","05:52:00","9@TU759_613","9","3.406"
"4705_50000204","05:52:00","05:52:00","9@TU760_613","10","3.634"
"4705_50000204","05:53:00","05:53:00","9@TU761_613","11","3.994"
"4705_50000204","05:54:00","05:54:00","9@TU762_613","12","4.97"
"4705_50000204","05:55:00","05:55:00","9@ST763_613","13","5.557"
"4705_50000204","05:56:00","05:56:00","9@ST764_613","14","6.137"
"4705_50000204","05:57:00","05:57:00","9@ST765_613","15","6.475"
"4705_50000204","05:58:00","05:58:00","9@ST766_613","16","7.205"
