route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1009563087","888-50","715","Ferrovia-Due Ponti","3","D86018","000000"
"1024834969","888-50","60N","P.Za Gramsci - Siena Periferia","3","D86018","000000"
"1093685207","888-50","0S5","Petriccio-P. Sale-Pispini-Arbia-/S.Piero/","3","D86018","000000"
"1100399228","888-50","0S6","V. Tozzi-Poggiarello-V. Tozzi","3","D86018","000000"
"1108523155","888-50","S10","Fornacelle-Belverde-Tozzi-Fs-Ospedale-S.Miniato","3","D86018","000000"
"1116507760","888-50","S21","P.Zza Indipendenza-Colonna S.Marco-Montalbuccio-Colonna S.Marco-P.Zza Indipendenza","3","D86018","000000"
"1155264169","888-50","0S4","P.Za Del .Sale - F.S. - San Martino - Fornacelle","3","D86018","000000"
"1177237371","888-50","S51","Coroncina-P.Za Del Mercato","3","D86018","000000"
"1218985715","888-50","503","Policlinico-Ferrovia-Via Tozzi","3","D86018","000000"
"1246682380","888-50","567","P.Ta Romana - Ferrovia","3","D86018","000000"
"1247746662","888-50","0S9","V.Tozzi-Camollia-Stazione-Petriccio-V.Gabrielli","3","D86018","000000"
"1308209110","888-50","50N","Taverne - Logge Del Papa - Isola D'Arbia","3","D86018","000000"
"1314591713","888-50","S27","Abbadia Di Ruffolo-S. Pietrino-Certosa-P.Zza Del Mercato","3","D86018","000000"
"1367983395","888-50","S11","P.Za Gramsci - Fontebecci - San Martino - Fornacelle","3","FFFFFF","000000"
"1372077669","888-50","S77","P.Za Del Sale-Policlinico-Vico Alto-V. Delle Province-Petriccio","3","D86018","000000"
"1397599027","888-50","S19","Ravacciano-Stufa Secca","3","D86018","000000"
"141527737","888-50","507","P.Ta Pispini - Policlinico Le Scotte","3","D86018","000000"
"1433525028","888-50","555","S.Miniato-Policlinico-Fs-Gramsci","3","D86018","000000"
"1447459249","888-50","501","P.Za Del Sale-Fs-Le Scotte-Coroncina","3","D86018","000000"
