trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4824_60201002","13:27:00","13:27:00","9@EV027_600","1","0"
"4824_60201002","13:27:00","13:27:00","9@EV015_600","2",".258"
"4824_60201002","13:28:00","13:28:00","9@EV052_600","3",".464"
"4824_60201002","13:28:00","13:28:00","9@EV078_600","4",".656"
"4824_60201002","13:29:00","13:29:00","9@EV029_600","5","1.026"
"4824_60201002","13:30:00","13:30:00","9@EV030_600","6","1.528"
"4824_60201002","13:31:00","13:31:00","9@EV064_600","7","1.735"
"4824_60201002","13:32:00","13:32:00","9@EV031_600","8","2.189"
"4824_60201002","13:33:00","13:33:00","9@EV401_600","9","2.459"
"4824_60201002","13:33:00","13:33:00","9@EV032_600","10","2.701"
"4824_60201002","13:34:00","13:34:00","9@EV033_600","11","3.057"
"4824_60201002","13:34:00","13:34:00","9@EV034_600","12","3.241"
"4824_60201002","13:35:00","13:35:00","9@EV035_600","13","3.418"
"4824_60201002","13:35:00","13:35:00","9@EV469_600","14","3.593"
"4824_60201002","13:36:00","13:36:00","9@EV053_600","15","4.194"
"4824_60201002","13:38:00","13:38:00","9@EV519_600","16","5.127"
"4824_60201002","13:38:00","13:38:00","9@EV560_600","17","5.425"
"4824_60201002","13:39:00","13:39:00","9@EV019_600","18","5.722"
"4824_60201002","13:39:00","13:39:00","9@EV150_600","19","5.911"
"4824_60201002","13:40:00","13:40:00","9@EV065_600","20","6.136"
"4824_60201002","13:41:00","13:41:00","9@EV043_600","21","6.494"
"4824_60201002","13:41:00","13:41:00","9@EV044_600","22","6.656"
"4824_60201002","13:42:00","13:42:00","9@EV038_600","23","7.226"
"4824_60201002","13:43:00","13:43:00","9@EV045_600","24","7.701"
"4824_60201002","13:43:00","13:43:00","9@EV046_600","25","8.095"
"4824_60201002","13:44:00","13:44:00","9@EV047_600","26","8.371"
"4824_60201002","13:44:00","13:44:00","9@EV048_600","27","8.691"
"4824_60201002","13:45:00","13:45:00","9@EV049_600","28","8.864"
"4824_60201002","13:45:00","13:45:00","9@EV151_600","29","9.034"
"4824_60201002","13:45:00","13:45:00","9@EV152_600","30","9.285"
"4824_60201002","13:46:00","13:46:00","9@EV153_600","31","9.702"
"4824_60201002","13:47:00","13:47:00","9@EV154_600","32","10.11"
"4824_60201003","17:30:00","17:30:00","9@EV027_600","1","0"
"4824_60201003","17:30:00","17:30:00","9@EV015_600","2",".258"
"4824_60201003","17:31:00","17:31:00","9@EV052_600","3",".464"
"4824_60201003","17:31:00","17:31:00","9@EV078_600","4",".656"
"4824_60201003","17:32:00","17:32:00","9@EV029_600","5","1.026"
"4824_60201003","17:33:00","17:33:00","9@EV030_600","6","1.528"
"4824_60201003","17:34:00","17:34:00","9@EV064_600","7","1.735"
"4824_60201003","17:35:00","17:35:00","9@EV031_600","8","2.189"
"4824_60201003","17:36:00","17:36:00","9@EV401_600","9","2.459"
"4824_60201003","17:36:00","17:36:00","9@EV032_600","10","2.701"
"4824_60201003","17:37:00","17:37:00","9@EV033_600","11","3.057"
"4824_60201003","17:37:00","17:37:00","9@EV034_600","12","3.241"
"4824_60201003","17:38:00","17:38:00","9@EV035_600","13","3.418"
"4824_60201003","17:38:00","17:38:00","9@EV469_600","14","3.593"
"4824_60201003","17:39:00","17:39:00","9@EV053_600","15","4.194"
"4824_60201003","17:41:00","17:41:00","9@EV519_600","16","5.127"
"4824_60201003","17:41:00","17:41:00","9@EV560_600","17","5.425"
"4824_60201003","17:41:00","17:41:00","9@EV019_600","18","5.722"
"4824_60201003","17:42:00","17:42:00","9@EV150_600","19","5.911"
"4824_60201003","17:42:00","17:42:00","9@EV065_600","20","6.136"
"4824_60201003","17:43:00","17:43:00","9@EV043_600","21","6.494"
"4824_60201003","17:43:00","17:43:00","9@EV044_600","22","6.656"
"4824_60201003","17:44:00","17:44:00","9@EV038_600","23","7.226"
"4824_60201003","17:45:00","17:45:00","9@EV045_600","24","7.701"
"4824_60201003","17:45:00","17:45:00","9@EV046_600","25","8.095"
"4824_60201003","17:46:00","17:46:00","9@EV047_600","26","8.371"
"4824_60201003","17:46:00","17:46:00","9@EV048_600","27","8.691"
"4824_60201003","17:47:00","17:47:00","9@EV049_600","28","8.864"
"4824_60201003","17:47:00","17:47:00","9@EV151_600","29","9.034"
"4824_60201003","17:47:00","17:47:00","9@EV152_600","30","9.285"
"4824_60201003","17:48:00","17:48:00","9@EV153_600","31","9.702"
"4824_60201003","17:49:00","17:49:00","9@EV154_600","32","10.11"
"4824_60201003","17:50:00","17:50:00","9@EV380_600","33","10.75"
"4824_60201003","17:52:00","17:52:00","9@EV381_600","34","12.06"
"4824_60201003","17:54:00","17:54:00","9@EV388_600","35","12.794"
"4824_60201003","17:55:00","17:55:00","9@EV474_600","36","13.302"
"4824_60201003","17:56:00","17:56:00","9@EV378_600","37","13.988"
"4824_60201005","17:56:00","17:56:00","9@EV378_600","1","0"
"4824_60201005","17:58:00","17:58:00","9@EV379_600","2","1.213"
"4824_60201005","17:59:00","17:59:00","9@EV382_600","3","1.92"
"4824_60201005","18:01:00","18:01:00","9@EV383_600","4","3.258"
"4824_60201005","18:02:00","18:02:00","9@EV003_600","5","3.883"
"4824_60201006","13:27:00","13:27:00","9@EV027_600","1","0"
"4824_60201006","13:27:00","13:27:00","9@EV015_600","2",".258"
"4824_60201006","13:28:00","13:28:00","9@EV052_600","3",".464"
"4824_60201006","13:28:00","13:28:00","9@EV078_600","4",".656"
"4824_60201006","13:29:00","13:29:00","9@EV029_600","5","1.026"
"4824_60201006","13:30:00","13:30:00","9@EV030_600","6","1.528"
"4824_60201006","13:31:00","13:31:00","9@EV064_600","7","1.735"
"4824_60201006","13:32:00","13:32:00","9@EV031_600","8","2.189"
"4824_60201006","13:33:00","13:33:00","9@EV401_600","9","2.459"
"4824_60201006","13:33:00","13:33:00","9@EV032_600","10","2.701"
"4824_60201006","13:34:00","13:34:00","9@EV033_600","11","3.057"
"4824_60201006","13:34:00","13:34:00","9@EV034_600","12","3.241"
"4824_60201006","13:35:00","13:35:00","9@EV035_600","13","3.418"
"4824_60201006","13:35:00","13:35:00","9@EV469_600","14","3.593"
"4824_60201006","13:36:00","13:36:00","9@EV053_600","15","4.194"
"4824_60201006","13:38:00","13:38:00","9@EV519_600","16","5.127"
