trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4829_10200001","06:00:00","06:00:00","9@GM032_600","1","0"
"4829_10200001","06:17:00","06:17:00","9@PL169_600","2","14"
"4829_10200001","06:17:00","06:17:00","9@PL176_600","3","14.283"
"4829_10200001","06:19:00","06:19:00","9@PL028_600","4","15.767"
"4829_10200001","06:20:00","06:20:00","9@PL417_600","5","15.986"
"4829_10200002","06:30:00","06:30:00","9@PL417_600","1","0"
"4829_10200002","06:32:00","06:32:00","9@PL175_600","2","1.397"
"4829_10200002","06:33:00","06:33:00","9@PL168_600","3","1.682"
"4829_10200002","06:50:00","06:50:00","9@GM032_600","4","15.682"
"4829_10200003","07:00:00","07:00:00","9@GM032_600","1","0"
"4829_10200003","07:17:00","07:17:00","9@PL169_600","2","14"
"4829_10200003","07:17:00","07:17:00","9@PL176_600","3","14.283"
"4829_10200003","07:19:00","07:19:00","9@PL028_600","4","15.767"
"4829_10200003","07:20:00","07:20:00","9@PL417_600","5","15.986"
"4829_10200004","07:30:00","07:30:00","9@PL417_600","1","0"
"4829_10200004","07:32:00","07:32:00","9@PL175_600","2","1.397"
"4829_10200004","07:33:00","07:33:00","9@PL168_600","3","1.682"
"4829_10200004","07:50:00","07:50:00","9@GM032_600","4","15.682"
"4829_10200005","08:00:00","08:00:00","9@GM032_600","1","0"
"4829_10200005","08:17:00","08:17:00","9@PL169_600","2","14"
"4829_10200005","08:17:00","08:17:00","9@PL176_600","3","14.283"
"4829_10200005","08:19:00","08:19:00","9@PL028_600","4","15.767"
"4829_10200005","08:20:00","08:20:00","9@PL417_600","5","15.986"
"4829_10200006","08:30:00","08:30:00","9@PL417_600","1","0"
"4829_10200006","08:32:00","08:32:00","9@PL175_600","2","1.397"
"4829_10200006","08:33:00","08:33:00","9@PL168_600","3","1.682"
"4829_10200006","08:50:00","08:50:00","9@GM032_600","4","15.682"
"4829_10200007","09:00:00","09:00:00","9@GM032_600","1","0"
"4829_10200007","09:17:00","09:17:00","9@PL169_600","2","14"
"4829_10200007","09:17:00","09:17:00","9@PL176_600","3","14.283"
"4829_10200007","09:19:00","09:19:00","9@PL028_600","4","15.767"
"4829_10200007","09:20:00","09:20:00","9@PL417_600","5","15.986"
"4829_10200008","09:30:00","09:30:00","9@PL417_600","1","0"
"4829_10200008","09:32:00","09:32:00","9@PL175_600","2","1.397"
"4829_10200008","09:33:00","09:33:00","9@PL168_600","3","1.682"
"4829_10200008","09:50:00","09:50:00","9@GM032_600","4","15.682"
"4829_10200009","10:00:00","10:00:00","9@GM032_600","1","0"
"4829_10200009","10:17:00","10:17:00","9@PL169_600","2","14"
"4829_10200009","10:17:00","10:17:00","9@PL176_600","3","14.283"
"4829_10200009","10:19:00","10:19:00","9@PL028_600","4","15.767"
"4829_10200009","10:20:00","10:20:00","9@PL417_600","5","15.986"
"4829_10200010","10:30:00","10:30:00","9@PL417_600","1","0"
"4829_10200010","10:32:00","10:32:00","9@PL175_600","2","1.397"
"4829_10200010","10:33:00","10:33:00","9@PL168_600","3","1.682"
"4829_10200010","10:50:00","10:50:00","9@GM032_600","4","15.682"
"4829_10200011","11:00:00","11:00:00","9@GM032_600","1","0"
"4829_10200011","11:17:00","11:17:00","9@PL169_600","2","14"
"4829_10200011","11:17:00","11:17:00","9@PL176_600","3","14.283"
"4829_10200011","11:19:00","11:19:00","9@PL028_600","4","15.767"
"4829_10200011","11:20:00","11:20:00","9@PL417_600","5","15.986"
"4829_10200012","11:30:00","11:30:00","9@PL417_600","1","0"
"4829_10200012","11:32:00","11:32:00","9@PL175_600","2","1.397"
"4829_10200012","11:33:00","11:33:00","9@PL168_600","3","1.682"
