stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@1521_600","Pratese Magrini","43.7987900793627","11.1957288266728","2@1521"
"2@1522_600","Pratese Palagio Degli Spini","43.7994569238106","11.1938054826112","2@1522"
"2@1523_600","Pratese Ponte A Giogoli","43.8035436859721","11.1862022956809","2@1523"
"2@1524_600","Lucchese Righi","43.8051742821808","11.1812622058204","2@1524"
"2@1525_600","Casa Rossa 01","43.806347104516","11.1791374542297","2@1525"
"2@C5047_600","Lucchese Nobel","43.8046435072842","11.1818203755772","2@C5047"
"2@C6000_600","Pratese Sede At","43.8013693081708","11.1901293641587","2@C6000"
"2@C6202_600","Viale Europa  Hotel Napoleon","43.8351807502914","10.4945751217229","2@C6202"
"2@C6203_600","Viale Europa 736","43.8330599534967","10.4942656532642","2@C6203"
"2@C6206_600","Viale Europa Fr.736","43.8328153507317","10.4943808165854","2@C6206"
"2@C6207_600","Viale Europa Fr. Hotel Napoleon","43.8350034080551","10.4947106240492","2@C6207"
"2@C6408_600","Pratese S.Piero A Quaracchi","43.802632008642","11.1876644043334","2@C6408"
"2@C6409_600","Pratese Primo Settembre","43.7986565740786","11.1958973810032","2@C6409"
"2@CAL502_600","Centro Direzionale - A1 Fi Nord","43.831938084513","11.1596499060208","2@CAL502"
"2@D1506_600","Pratese Ferrarin","43.799321766333","11.1936096725216","2@D1506"
"5@0707_600","Bonellina  (La Vergine)","43.9228068844416","10.9183993927242","5@0707"
"5@3348_600","P. Dante (Stazione - 3)","43.9271165228747","10.9141013565786","5@3348"
"5@MCT000_600","Montecatini Stazione","43.8796270843048","10.7812422212115","5@MCT000"
"6@B_0362_600","Costituzione 11 Fr.","43.9304060688394","10.9137544076522","6@B_0362"
"6@B_0365_600","P. Garibaldi","43.930934820031","10.9165853930249","6@B_0365"
"6@B_0705_600","Bonellina, 18 Fr.","43.9255218222584","10.9188483499044","6@B_0705"
"6@B_0707_600","Bonellina   (Cimitero La Vergine)","43.9228112045881","10.9183482641761","6@B_0707"
"6@B_3083_600","Carratica, 51","43.9294803208238","10.9184898019601","6@B_3083"
"6@B_3349_600","P.Za Dante (Arrivo) <Pt0000>","43.9273075130736","10.9141066017907","6@B_3349"
"6@CAL500_600","Centro Direzionale - A1 Fi Nord","43.8318417913875","11.1598781522818","6@CAL500"
"6@DFI300_600","Ticino","43.8106468316487","11.1773748860522","6@DFI300"
"6@MCT000_600","Montecatini Stazione","43.879621915485","10.7811579643724","6@MCT000"
"7@FM8826_600","T2 Guidoni","43.7997373786759","11.2095743828785","7@FM8826"
"7@FM8849_600","Geminiani Poste","43.7982438404236","11.2074019776269","7@FM8849"
"8@0011_600","Viale Cavour 76","43.3302416783465","11.3189192243735","8@0011"
"8@0013_600","P.Diavoli","43.3323501706003","11.3130476321374","8@0013"
"8@0048_600","P.Diavoli","43.332154483924","11.3136853037934","8@0048"
"8@0050_600","V.Le C.B.Di Cavour.N.83","43.3299637040328","11.3193018577316","8@0050"
"8@0063_600","Siena-V.Le V.Emanuele Ii","43.3288765396191","11.3219682715798","8@0063"
"8@0064_600","Siena-Antiporto Camollia V.Vitto","43.3287111004503","11.3220364632482","8@0064"
"8@0065_600","P.Camollia","43.3279954596601","11.3242959975672","8@0065"
"8@0067_600","Siena-Bv .Montluc.","43.3257579751824","11.3252510832393","8@0067"
"8@0095_600","Siena-V Le V.Veneto N.5","43.3206922140708","11.3226545859983","8@0095"
"8@0096_600","Siena-P.Za San Domenico","43.320276330142","11.326338159034","8@0096"
"8@0260_600","Fontebecci","43.3423378709014","11.305879001451","8@0260"
"8@0262_600","T.Fiorentina","43.3368728023372","11.3075125146532","8@0262"
"8@0275_600","V.N.Sauro","43.3253069402241","11.3247828436224","8@0275"
"8@0380_600","Torre Fiorentina","43.3371165571656","11.3074651744377","8@0380"
