service_id,date,exception_type
"4313_244616","20230428","1"
"4313_244616","20230429","1"
"4313_244616","20230502","1"
"4313_244616","20230503","1"
"4313_244616","20230504","1"
"4313_244616","20230505","1"
"4313_244616","20230506","1"
"4313_244616","20230508","1"
"4313_244616","20230509","1"
"4313_244616","20230510","1"
"4313_244616","20230511","1"
"4313_244616","20230512","1"
"4313_244616","20230513","1"
"4313_244616","20230515","1"
"4313_244616","20230516","1"
"4313_244616","20230517","1"
"4313_244616","20230518","1"
"4313_244616","20230519","1"
"4313_244616","20230520","1"
"4313_244616","20230522","1"
"4313_244616","20230523","1"
"4313_244616","20230524","1"
"4313_244616","20230525","1"
"4313_244616","20230526","1"
"4313_244616","20230527","1"
"4313_244616","20230529","1"
"4313_244616","20230530","1"
"4313_244616","20230531","1"
"4313_244616","20230601","1"
"4313_244616","20230603","1"
"4313_244616","20230605","1"
"4313_244616","20230606","1"
"4313_244616","20230607","1"
"4313_244616","20230608","1"
"4313_244616","20230609","1"
"4313_244616","20230610","1"
"4313_244616","20230915","1"
"4313_244616","20230916","1"
"4313_244616","20230918","1"
"4313_244616","20230919","1"
"4313_244616","20230920","1"
"4313_244616","20230921","1"
"4313_244616","20230922","1"
"4313_244616","20230923","1"
"4313_244616","20230925","1"
"4313_244616","20230926","1"
"4313_244616","20230927","1"
"4313_244616","20230928","1"
"4313_244616","20230929","1"
"4313_244616","20230930","1"
"4313_244616","20231002","1"
"4313_244616","20231003","1"
"4313_244616","20231004","1"
"4313_244616","20231005","1"
"4313_244616","20231006","1"
"4313_244616","20231007","1"
"4313_244616","20231009","1"
"4313_244616","20231010","1"
"4313_244616","20231011","1"
"4313_244616","20231012","1"
"4313_244616","20231013","1"
"4313_244616","20231014","1"
"4313_244616","20231016","1"
"4313_244616","20231017","1"
"4313_244616","20231018","1"
"4313_244616","20231019","1"
"4313_244616","20231020","1"
"4313_244616","20231021","1"
"4313_244616","20231023","1"
"4313_244616","20231024","1"
"4313_244616","20231025","1"
"4313_244616","20231026","1"
"4313_244616","20231027","1"
"4313_244616","20231028","1"
"4313_244616","20231030","1"
"4313_244616","20231031","1"
"4313_244616","20231102","1"
"4313_244616","20231103","1"
"4313_244616","20231104","1"
"4313_244616","20231106","1"
"4313_244616","20231107","1"
"4313_244616","20231108","1"
"4313_244616","20231109","1"
"4313_244616","20231110","1"
"4313_244616","20231111","1"
"4313_244616","20231113","1"
"4313_244616","20231114","1"
"4313_244616","20231115","1"
"4313_244616","20231116","1"
"4313_244616","20231117","1"
"4313_244616","20231118","1"
"4313_244616","20231120","1"
"4313_244616","20231121","1"
"4313_244616","20231122","1"
"4313_244616","20231123","1"
"4313_244616","20231124","1"
"4313_244616","20231125","1"
"4313_244616","20231127","1"
"4313_244616","20231128","1"
"4313_244616","20231129","1"
"4313_244616","20231130","1"
"4313_244616","20231201","1"
"4313_244616","20231202","1"
"4313_244616","20231204","1"
"4313_244616","20231205","1"
"4313_244616","20231206","1"
"4313_244616","20231207","1"
"4313_244616","20231209","1"
"4313_244616","20231211","1"
"4313_244616","20231212","1"
"4313_244616","20231213","1"
"4313_244616","20231214","1"
"4313_244616","20231215","1"
"4313_244616","20231216","1"
"4313_244616","20231218","1"
"4313_244616","20231219","1"
"4313_244616","20231220","1"
"4313_244616","20231221","1"
"4313_244616","20231222","1"
"4313_244616","20231223","1"
"4313_244617","20230428","1"
"4313_244617","20230505","1"
"4313_244617","20230512","1"
"4313_244617","20230519","1"
"4313_244617","20230526","1"
"4313_244617","20230609","1"
"4313_244617","20230915","1"
"4313_244617","20230922","1"
"4313_244617","20230929","1"
"4313_244617","20231006","1"
"4313_244617","20231013","1"
"4313_244617","20231020","1"
"4313_244617","20231027","1"
"4313_244617","20231103","1"
"4313_244617","20231110","1"
"4313_244617","20231117","1"
"4313_244617","20231124","1"
"4313_244617","20231201","1"
"4313_244617","20231215","1"
"4313_244617","20231222","1"
"4313_244618","20230428","1"
"4313_244618","20230429","1"
"4313_244618","20230502","1"
"4313_244618","20230503","1"
"4313_244618","20230504","1"
"4313_244618","20230505","1"
"4313_244618","20230506","1"
"4313_244618","20230508","1"
"4313_244618","20230509","1"
"4313_244618","20230510","1"
"4313_244618","20230511","1"
"4313_244618","20230512","1"
"4313_244618","20230513","1"
"4313_244618","20230515","1"
"4313_244618","20230516","1"
"4313_244618","20230517","1"
"4313_244618","20230518","1"
"4313_244618","20230519","1"
"4313_244618","20230520","1"
"4313_244618","20230522","1"
"4313_244618","20230523","1"
"4313_244618","20230524","1"
"4313_244618","20230525","1"
"4313_244618","20230526","1"
"4313_244618","20230527","1"
"4313_244618","20230529","1"
"4313_244618","20230530","1"
"4313_244618","20230531","1"
"4313_244618","20230601","1"
"4313_244618","20230603","1"
"4313_244618","20230605","1"
"4313_244618","20230606","1"
"4313_244618","20230607","1"
"4313_244618","20230608","1"
"4313_244618","20230609","1"
"4313_244618","20230610","1"
"4313_244618","20230612","1"
"4313_244618","20230613","1"
"4313_244618","20230614","1"
"4313_244618","20230615","1"
"4313_244618","20230616","1"
"4313_244618","20230617","1"
"4313_244618","20230619","1"
"4313_244618","20230620","1"
"4313_244618","20230621","1"
"4313_244618","20230622","1"
"4313_244618","20230623","1"
"4313_244618","20230624","1"
"4313_244618","20230626","1"
"4313_244618","20230627","1"
"4313_244618","20230628","1"
"4313_244618","20230629","1"
"4313_244618","20230630","1"
"4313_244618","20230701","1"
"4313_244618","20230703","1"
