service_id,date,exception_type
"4285_310506","20230427","1"
"4285_310506","20230428","1"
"4285_310506","20230429","1"
"4285_310508","20230427","1"
"4285_310508","20230428","1"
"4285_310510","20230429","1"
"4285_310511","20230430","1"
"4285_310513","20230427","1"
"4285_310513","20230428","1"
"4285_310513","20230429","1"
"4285_310515","20230427","1"
"4285_310515","20230428","1"
"4285_310516","20230430","1"
"4285_310517","20230429","1"
"4285_310519","20230429","1"
"4285_310522","20230427","1"
"4285_310522","20230428","1"
"4285_310522","20230429","1"
"4285_310523","20230427","1"
"4285_310523","20230428","1"
"4285_310525","20230429","1"
"4285_310526","20230429","1"
"4285_310527","20230427","1"
"4285_310527","20230428","1"
"4285_310527","20230429","1"
"4285_310527","20230430","1"
"4285_310528","20230430","1"
"4285_310529","20230427","1"
"4285_310529","20230428","1"
"4285_310530","20230427","1"
"4285_310530","20230428","1"
"4285_310530","20230429","1"
"4285_310532","20230427","1"
"4285_310532","20230428","1"
"4285_310534","20230430","1"
"4285_310535","20230427","1"
"4285_310535","20230428","1"
"4285_310537","20230429","1"
"4285_310539","20230429","1"
"4285_310540","20230427","1"
"4285_310540","20230428","1"
"4285_310540","20230429","1"
"4285_310540","20230430","1"
"4285_310541","20230430","1"
"4285_310542","20230427","1"
"4285_310542","20230428","1"
"4285_310542","20230429","1"
"4285_310543","20230427","1"
"4285_310543","20230428","1"
"4285_310544","20230429","1"
"4285_310545","20230429","1"
"4285_310546","20230427","1"
"4285_310546","20230428","1"
"4285_310546","20230429","1"
"4285_310546","20230430","1"
"4285_310547","20230430","1"
"4285_310548","20230427","1"
"4285_310548","20230428","1"
"4285_310549","20230427","1"
"4285_310549","20230428","1"
"4285_310549","20230429","1"
"4285_310553","20230427","1"
"4285_310553","20230428","1"
"4285_310554","20230429","1"
"4285_310556","20230429","1"
"4285_310557","20230430","1"
"4285_310559","20230427","1"
"4285_310559","20230428","1"
"4285_310561","20230427","1"
"4285_310561","20230428","1"
"4285_310561","20230429","1"
"4285_310562","20230429","1"
"4285_310564","20230427","1"
"4285_310564","20230428","1"
"4285_310565","20230429","1"
"4285_310566","20230430","1"
"4285_310567","20230427","1"
"4285_310567","20230428","1"
"4285_310567","20230429","1"
"4285_310570","20230427","1"
"4285_310570","20230428","1"
"4285_310572","20230427","1"
"4285_310572","20230428","1"
"4285_310572","20230429","1"
"4285_310573","20230429","1"
"4285_310574","20230427","1"
"4285_310574","20230428","1"
"4285_310576","20230427","1"
"4285_310576","20230428","1"
"4285_310577","20230430","1"
"4285_310579","20230429","1"
"4285_310580","20230429","1"
"4285_310581","20230427","1"
"4285_310581","20230428","1"
"4285_310583","20230427","1"
"4285_310583","20230428","1"
"4285_310585","20230427","1"
"4285_310585","20230428","1"
"4285_310591","20230427","1"
"4285_310591","20230428","1"
"4285_310591","20230429","1"
"4285_310592","20230430","1"
"4285_310593","20230429","1"
"4285_310594","20230429","1"
"4285_310594","20230430","1"
"4285_310596","20230427","1"
"4285_310596","20230428","1"
"4285_310598","20230427","1"
"4285_310598","20230428","1"
"4285_310598","20230429","1"
"4285_310598","20230430","1"
"4285_310599","20230427","1"
"4285_310599","20230428","1"
