trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4285_24620","16:15:00","16:15:00","6@6005_600","1","0"
"4285_24620","16:16:00","16:16:00","6@6004_600","2",".236"
"4285_24620","16:16:00","16:16:00","6@6013_600","3",".365"
"4285_24620","16:17:00","16:17:00","6@B_0693_600","4",".652"
"4285_24620","16:18:00","16:18:00","6@B_0691_600","5",".976"
"4285_24620","16:18:00","16:18:00","6@B_3174_600","6","1.241"
"4285_24620","16:19:00","16:19:00","6@2916_600","7","1.644"
"4285_24620","16:20:00","16:20:00","6@B_0689_600","8","1.951"
"4285_24620","16:21:00","16:21:00","6@B_0687_600","9","2.449"
"4285_24620","16:22:00","16:22:00","6@FI_215_600","10","3.03"
"4285_24620","16:22:00","16:22:00","6@B_0685_600","11","3.332"
"4285_24620","16:22:00","16:22:00","6@B_0683_600","12","3.693"
"4285_24620","16:23:00","16:23:00","6@FI_220_600","13","4.235"
"4285_24620","16:25:00","16:25:00","6@2922_600","14","6.184"
"4285_24620","17:03:00","17:03:00","6@MCT000_600","15","46.468"
"4285_24628","06:50:00","06:50:00","6@6005_600","1","0"
"4285_24628","06:51:00","06:51:00","6@6004_600","2",".236"
"4285_24628","06:51:00","06:51:00","6@6013_600","3",".365"
"4285_24628","06:52:00","06:52:00","6@B_0693_600","4",".652"
"4285_24628","06:53:00","06:53:00","6@B_0691_600","5",".976"
"4285_24628","06:53:00","06:53:00","6@B_3174_600","6","1.241"
"4285_24628","06:54:00","06:54:00","6@2916_600","7","1.644"
"4285_24628","06:55:00","06:55:00","6@B_0689_600","8","1.951"
"4285_24628","06:56:00","06:56:00","6@B_0687_600","9","2.449"
"4285_24628","06:57:00","06:57:00","6@FI_215_600","10","3.03"
"4285_24628","06:57:00","06:57:00","6@B_0685_600","11","3.332"
"4285_24628","06:57:00","06:57:00","6@B_0683_600","12","3.693"
"4285_24628","06:58:00","06:58:00","6@FI_220_600","13","4.235"
"4285_24628","07:00:00","07:00:00","6@2922_600","14","6.184"
"4285_24628","07:38:00","07:38:00","6@MCT000_600","15","46.468"
"4285_24629","07:55:00","07:55:00","6@6005_600","1","0"
"4285_24629","07:56:00","07:56:00","6@6004_600","2",".236"
"4285_24629","07:56:00","07:56:00","6@6013_600","3",".365"
"4285_24629","07:57:00","07:57:00","6@B_0693_600","4",".652"
"4285_24629","07:58:00","07:58:00","6@B_0691_600","5",".976"
"4285_24629","07:58:00","07:58:00","6@B_3174_600","6","1.241"
"4285_24629","07:59:00","07:59:00","6@2916_600","7","1.644"
"4285_24629","08:00:00","08:00:00","6@B_0689_600","8","1.951"
"4285_24629","08:01:00","08:01:00","6@B_0687_600","9","2.449"
"4285_24629","08:02:00","08:02:00","6@FI_215_600","10","3.03"
"4285_24629","08:02:00","08:02:00","6@B_0685_600","11","3.332"
"4285_24629","08:02:00","08:02:00","6@B_0683_600","12","3.693"
"4285_24629","08:03:00","08:03:00","6@FI_220_600","13","4.235"
"4285_24629","08:05:00","08:05:00","6@2922_600","14","6.184"
"4285_24629","08:43:00","08:43:00","6@MCT000_600","15","46.468"
"4285_24630","13:15:00","13:15:00","6@6005_600","1","0"
"4285_24630","13:16:00","13:16:00","6@6004_600","2",".236"
"4285_24630","13:16:00","13:16:00","6@6013_600","3",".365"
"4285_24630","13:17:00","13:17:00","6@B_0693_600","4",".652"
"4285_24630","13:18:00","13:18:00","6@B_0691_600","5",".976"
"4285_24630","13:18:00","13:18:00","6@B_3174_600","6","1.241"
"4285_24630","13:19:00","13:19:00","6@2916_600","7","1.644"
"4285_24630","13:20:00","13:20:00","6@B_0689_600","8","1.951"
"4285_24630","13:21:00","13:21:00","6@B_0687_600","9","2.449"
"4285_24630","13:22:00","13:22:00","6@FI_215_600","10","3.03"
"4285_24630","13:22:00","13:22:00","6@B_0685_600","11","3.332"
"4285_24630","13:22:00","13:22:00","6@B_0683_600","12","3.693"
"4285_24630","13:23:00","13:23:00","6@FI_220_600","13","4.235"
"4285_24630","13:25:00","13:25:00","6@2922_600","14","6.184"
"4285_24630","14:03:00","14:03:00","6@MCT000_600","15","46.468"
"4285_24631","14:15:00","14:15:00","6@6005_600","1","0"
"4285_24631","14:16:00","14:16:00","6@6004_600","2",".236"
"4285_24631","14:16:00","14:16:00","6@6013_600","3",".365"
"4285_24631","14:17:00","14:17:00","6@B_0693_600","4",".652"
"4285_24631","14:18:00","14:18:00","6@B_0691_600","5",".976"
"4285_24631","14:18:00","14:18:00","6@B_3174_600","6","1.241"
"4285_24631","14:19:00","14:19:00","6@2916_600","7","1.644"
"4285_24631","14:20:00","14:20:00","6@B_0689_600","8","1.951"
"4285_24631","14:21:00","14:21:00","6@B_0687_600","9","2.449"
"4285_24631","14:22:00","14:22:00","6@FI_215_600","10","3.03"
"4285_24631","14:22:00","14:22:00","6@B_0685_600","11","3.332"
"4285_24631","14:22:00","14:22:00","6@B_0683_600","12","3.693"
"4285_24631","14:23:00","14:23:00","6@FI_220_600","13","4.235"
"4285_24631","14:25:00","14:25:00","6@2922_600","14","6.184"
"4285_24631","15:03:00","15:03:00","6@MCT000_600","15","46.468"
"4285_24632","19:15:00","19:15:00","6@6005_600","1","0"
"4285_24632","19:16:00","19:16:00","6@6004_600","2",".236"
"4285_24632","19:16:00","19:16:00","6@6013_600","3",".365"
"4285_24632","19:17:00","19:17:00","6@B_0693_600","4",".652"
"4285_24632","19:18:00","19:18:00","6@B_0691_600","5",".976"
"4285_24632","19:18:00","19:18:00","6@B_3174_600","6","1.241"
"4285_24632","19:19:00","19:19:00","6@2916_600","7","1.644"
"4285_24632","19:20:00","19:20:00","6@B_0689_600","8","1.951"
"4285_24632","19:21:00","19:21:00","6@B_0687_600","9","2.449"
"4285_24632","19:22:00","19:22:00","6@FI_215_600","10","3.03"
"4285_24632","19:22:00","19:22:00","6@B_0685_600","11","3.332"
"4285_24632","19:22:00","19:22:00","6@B_0683_600","12","3.693"
"4285_24632","19:23:00","19:23:00","6@FI_220_600","13","4.235"
"4285_24632","19:25:00","19:25:00","6@2922_600","14","6.184"
"4285_24632","20:03:00","20:03:00","6@MCT000_600","15","46.468"
"4285_24633","08:15:00","08:15:00","6@6005_600","1","0"
"4285_24633","08:16:00","08:16:00","6@6004_600","2",".236"
"4285_24633","08:16:00","08:16:00","6@6013_600","3",".365"
"4285_24633","08:17:00","08:17:00","6@B_0693_600","4",".652"
"4285_24633","08:18:00","08:18:00","6@B_0691_600","5",".976"
"4285_24633","08:18:00","08:18:00","6@B_3174_600","6","1.241"
"4285_24633","08:19:00","08:19:00","6@2916_600","7","1.644"
"4285_24633","08:20:00","08:20:00","6@B_0689_600","8","1.951"
