service_id,date,exception_type
"4286_243905","20230428","1"
"4286_243905","20230429","1"
"4286_243905","20230430","1"
"4286_243906","20230427","1"
"4286_243906","20230428","1"
"4286_243906","20230429","1"
"4286_243906","20230430","1"
"4286_243907","20230427","1"
"4286_243907","20230428","1"
"4286_243907","20230429","1"
"4286_243907","20230430","1"
"4286_243908","20230429","1"
"4286_243908","20230430","1"
"4286_243911","20230430","1"
"4286_243912","20230429","1"
"4286_243913","20230430","1"
"4286_243914","20230427","1"
"4286_243914","20230428","1"
"4286_243914","20230429","1"
"4286_243915","20230427","1"
"4286_243915","20230428","1"
"4286_243915","20230429","1"
"4286_243917","20230427","1"
"4286_243917","20230428","1"
"4286_243917","20230429","1"
"4286_243918","20230427","1"
"4286_243918","20230428","1"
"4286_243918","20230429","1"
"4286_243918","20230430","1"
"4286_243920","20230430","1"
"4286_243921","20230430","1"
"4286_243922","20230430","1"
"4286_243923","20230427","1"
"4286_243923","20230428","1"
"4286_243923","20230429","1"
"4320_366410","20230501","1"
"4320_366410","20230505","1"
"4320_366410","20230506","1"
"4320_366410","20230507","1"
"4320_366410","20230512","1"
"4320_366410","20230513","1"
"4320_366410","20230514","1"
"4320_366410","20230519","1"
"4320_366410","20230520","1"
"4320_366410","20230521","1"
"4320_366410","20230526","1"
"4320_366410","20230527","1"
"4320_366410","20230528","1"
"4320_366410","20230601","1"
"4320_366410","20230602","1"
"4320_366410","20230603","1"
"4320_366410","20230604","1"
"4320_366410","20230609","1"
"4320_366410","20230610","1"
"4320_366410","20230611","1"
"4320_366410","20230617","1"
"4320_366410","20230618","1"
"4320_366410","20230624","1"
"4320_366410","20230625","1"
"4320_366410","20230630","1"
"4320_366410","20230701","1"
"4320_366410","20230702","1"
"4320_366410","20230707","1"
"4320_366410","20230708","1"
"4320_366410","20230709","1"
"4320_366410","20230714","1"
"4320_366410","20230715","1"
"4320_366410","20230716","1"
"4320_366410","20230721","1"
"4320_366410","20230722","1"
"4320_366410","20230723","1"
"4320_366410","20230728","1"
"4320_366410","20230729","1"
"4320_366410","20230730","1"
"4320_366410","20230804","1"
"4320_366410","20230805","1"
"4320_366410","20230806","1"
"4320_366410","20230811","1"
"4320_366410","20230812","1"
"4320_366410","20230813","1"
"4320_366410","20230814","1"
"4320_366410","20230815","1"
"4320_366410","20230818","1"
"4320_366410","20230819","1"
"4320_366410","20230820","1"
"4320_366410","20230825","1"
"4320_366410","20230826","1"
"4320_366410","20230827","1"
"4320_366410","20230901","1"
"4320_366410","20230902","1"
"4320_366410","20230903","1"
"4320_366410","20230908","1"
"4320_366410","20230909","1"
"4320_366410","20230910","1"
"4320_366410","20230915","1"
"4320_366410","20230916","1"
"4320_366410","20230917","1"
"4320_366410","20230922","1"
"4320_366410","20230923","1"
"4320_366410","20230924","1"
"4320_366410","20230929","1"
"4320_366410","20230930","1"
"4320_366410","20231001","1"
"4320_366410","20231006","1"
"4320_366410","20231007","1"
"4320_366410","20231008","1"
"4320_366410","20231013","1"
"4320_366410","20231014","1"
"4320_366410","20231015","1"
"4320_366410","20231017","1"
"4320_366410","20231020","1"
"4320_366410","20231021","1"
"4320_366410","20231022","1"
"4320_366410","20231024","1"
"4320_366410","20231027","1"
"4320_366410","20231028","1"
"4320_366410","20231029","1"
"4320_366410","20231031","1"
"4320_366410","20231101","1"
"4320_366410","20231103","1"
"4320_366410","20231104","1"
"4320_366410","20231105","1"
"4320_366410","20231110","1"
"4320_366410","20231111","1"
"4320_366410","20231112","1"
"4320_366410","20231117","1"
"4320_366410","20231118","1"
"4320_366410","20231119","1"
"4320_366410","20231124","1"
"4320_366410","20231125","1"
"4320_366410","20231126","1"
"4320_366410","20231201","1"
"4320_366410","20231202","1"
"4320_366410","20231203","1"
"4320_366410","20231207","1"
"4320_366410","20231208","1"
"4320_366410","20231209","1"
"4320_366410","20231210","1"
"4320_366410","20231215","1"
"4320_366410","20231216","1"
"4320_366410","20231217","1"
"4320_366410","20231222","1"
"4320_366410","20231223","1"
"4320_366410","20231224","1"
"4320_366410","20231225","1"
"4320_366410","20231226","1"
"4320_366410","20231229","1"
"4320_366410","20231230","1"
"4320_366410","20231231","1"
"4320_366411","20230501","1"
"4320_366411","20230502","1"
"4320_366411","20230503","1"
"4320_366411","20230504","1"
"4320_366411","20230505","1"
