trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4286_14","04:00:00","04:00:00","8@ARZ005_600","1","0"
"4286_14","04:50:00","04:50:00","8@REG235_600","2","57.178"
"4286_14","04:54:00","04:54:00","8@PEG091_600","3","60.396"
"4286_14","05:00:00","05:00:00","8@PVE022_600","4","66.269"
"4286_14","05:03:00","05:03:00","8@PVE024_600","5","70.84"
"4286_14","05:07:00","05:07:00","8@FSL008_600","6","74.089"
"4286_14","05:22:00","05:22:00","8@FI_162_600","7","84.098"
"4286_14","05:30:00","05:30:00","FI0002_600","8","89.602"
"4286_16","04:08:00","04:08:00","9@CK061_600","1","0"
"4286_16","04:12:00","04:12:00","9@CK018_600","2","6.957"
"4286_16","04:24:00","04:24:00","9@FD012_600","3","18.622"
"4286_16","04:44:00","04:44:00","8@ARZ005_600","4","35.645"
"4286_16","05:48:00","05:48:00","8@FI_162_600","5","111.073"
"4286_16","05:58:00","05:58:00","FI0002_600","6","116.577"
"4286_18","22:25:00","22:25:00","FI0002_600","1","0"
"4286_18","22:37:00","22:37:00","7@FM2159_600","2","4.691"
"4286_18","23:00:00","23:00:00","6@2179_600","3","20.875"
"4286_18","23:12:00","23:12:00","6@2309_600","4","25.091"
"4286_18","23:30:00","23:30:00","5@1461_600","5","32.66"
"4286_18","23:45:00","23:45:00","5@0335_600","6","40.823"
"4286_18","23:59:00","23:59:00","5@MCT012_600","7","55.299"
"4286_18","24:24:00","24:24:00","2@C0458_600","8","81.81"
"4286_18","25:05:00","25:05:00","3@B4370_600","9","110.697"
"4286_20","01:12:00","01:12:00","3@B4370_600","1","0"
"4286_20","01:31:00","01:31:00","3@B1437_600","2","14.276"
"4286_20","01:44:00","01:44:00","3@B3800_600","3","21.779"
"4286_20","02:05:00","02:05:00","6@EMP00G_600","4","52.14"
"4286_20","02:34:00","02:34:00","FI0002_600","5","83.921"
"4286_21","00:45:00","00:45:00","FI0002_600","1","0"
"4286_21","00:53:00","00:53:00","8@FI_162_600","2","3.622"
"4286_21","01:10:00","01:10:00","8@FSL009_600","3","14.552"
"4286_21","01:15:00","01:15:00","8@PVE023_600","4","17.771"
"4286_21","01:22:00","01:22:00","8@PVE022_600","5","22.522"
"4286_21","01:32:00","01:32:00","8@PEG082_600","6","28.397"
"4286_21","01:37:00","01:37:00","8@REG234_600","7","31.604"
"4286_21","01:50:00","01:50:00","8@INV019_600","8","40.864"
"4286_21","01:57:00","01:57:00","8@FVN028_600","9","45.775"
"4286_21","02:08:00","02:08:00","8@SGV002_600","10","53.657"
"4286_21","02:18:00","02:18:00","8@MTV003_600","11","60.253"
"4286_21","02:50:00","02:50:00","8@ARZ005_600","12","91.712"
"4286_22","01:12:00","01:12:00","3@B4370_600","1","0"
"4286_22","01:31:00","01:31:00","3@B1437_600","2","14.276"
"4286_22","01:44:00","01:44:00","3@B3800_600","3","21.779"
"4286_22","02:05:00","02:05:00","6@EMP00G_600","4","52.14"
