stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0458_600","Stazione Fs","43.8375913605805","10.5053913613585","2@C0458"
"3@B1437_600","Cascina Fr Ist.D'Arte","43.6765380575689","10.5465047892361","3@B1437"
"3@B3800_600","Pontedera Autostazione","43.6634897051424","10.6286545941337","3@B3800"
"3@B4370_600","Stazione 5","43.7088642010235","10.3991153169635","3@B4370"
"5@0335_600","P. Dante, 24   (Inail)","43.9273349818437","10.915002522408","5@0335"
"5@0336_600","P. Dante, 9  (Stazione - 1)","43.9271448070924","10.9147267235806","5@0336"
"5@1461_600","Provinciale 328 Fr","43.9110985468855","11.0068665292357","5@1461"
"5@MCT012_600","(Montecatini) Via Enrico Toti, Fr.13 (Ex","43.8816869420395","10.7709423002095","5@MCT012"
"6@2179_600","Prato Stazione Fs 5","43.8787453976913","11.1083301624294","6@2179"
"6@2309_600","Filzi 11","43.8907836997011","11.0765803095147","6@2309"
"6@CFN000_600","Granaiolo Fs","43.6543375587859","10.943337530314","6@CFN000"
"6@CFN002_600","Granaiolo Fs","43.6541481954009","10.9436864158117","6@CFN002"
"6@EMP00G_600","Empoli Autostazione","43.7163827261213","10.9510582797309","6@EMP00G"
"6@EMP240_600","Ponte A Elsa 3","43.6915925707916","10.9003515450328","6@EMP240"
"6@EMP242_600","Ponte A Elsa 2_V","43.6915401405911","10.9005319192647","6@EMP242"
"6@SFN023_600","Sesto Fs","43.8336770270976","11.1927614318152","6@SFN023"
"7@FM0161_600","Sestese Castello Fs","43.8181942284793","11.2226944771806","7@FM0161"
"7@FM0390_600","Volta Cure","43.7866842786388","11.2697462660652","7@FM0390"
"7@FM0636_600","Romito Richa","43.7875936615477","11.2452535533555","7@FM0636"
"7@FM0996_600","Rifredi Fs Steccuto","43.8010116742027","11.2381146562924","7@FM0996"
"7@FM2159_600","Rifredi Fs Vasco De Gama","43.799977989894","11.2357282084033","7@FM2159"
"8@ARZ005_600","Arezzo Terminal","43.4622075910664","11.8755810863555","8@ARZ005"
"8@BSL065_600","Borgo San Lorenzo Fs","43.9595942666074","11.3803389348898","8@BSL065"
"8@BSL211_600","Via Kennedy 1_V","43.9527272017284","11.3990821531071","8@BSL211"
"8@CFN040_600","Castelfiorentino Fs","43.6056280186249","10.968390926205","8@CFN040"
"8@DIC013_600","Contea Fs","43.8639020053972","11.530949897986","8@DIC013"
"8@DIC014_600","Contea Fs","43.8637982835417","11.5308769414679","8@DIC014"
"8@DIC025_600","Dicomano Fs","43.8933938231379","11.5202532128299","8@DIC025"
"8@DIC031_600","Dicomano Fs","43.8938617003234","11.5198176564364","8@DIC031"
"8@FI_162_600","Stazione Campo Di Marte","43.7775818986298","11.2760745161606","8@FI_162"
"8@FSL008_600","Compiobbi 2_V","43.7844416959977","11.3610283374696","8@FSL008"
"8@FSL009_600","Compiobbi 2","43.7842526411322","11.3610231296419","8@FSL009"
"8@FSL025_600","Fiesole Le Caldine Fs","43.8316948547323","11.3087126737734","8@FSL025"
"8@FSL050_600","Pian Del Mugnone Centro","43.8196293522507","11.295047190055","8@FSL050"
"8@FVN028_600","Figline Valdarno","43.6201420103105","11.4726916257657","8@FVN028"
"8@FVN036_600","Figline Valdarno Fs","43.6206539287281","11.4741192964838","8@FVN036"
"8@INV018_600","Incisa Capolinea Barberino","43.6540990805082","11.4511175575694","8@INV018"
"8@INV019_600","Incisa Viale Marconi","43.6561256293394","11.4499874844654","8@INV019"
"8@MTV003_600","Polo Intermodale","43.5243364500919","11.565148163319","8@MTV003"
"8@PEG082_600","Sant'Ellero","43.741816276829","11.4704075226836","8@PEG082"
"8@PEG091_600","Sant' Ellero_V","43.742062405094","11.4705169979751","8@PEG091"
"8@PRT058_600","Pratovecchio Di Fr. Ferramenta Alberti","43.7879947634567","11.7221457483679","8@PRT058"
"8@PRT059_600","Pratovecchio Ferramenta Alberti","43.7880242234576","11.7219938492154","8@PRT059"
"8@PVE022_600","Pontassieve Ss67","43.774693523362","11.4383247954136","8@PVE022"
"8@PVE023_600","Le Sieci Piazza Albizi","43.7899771448673","11.3931939077082","8@PVE023"
"8@PVE024_600","Le Sieci Piazza Albizi","43.7896467154452","11.3937437252196","8@PVE024"
"8@PVE043_600","Pontassieve Fs","43.7743553694878","11.4381131751363","8@PVE043"
"8@REG234_600","Bivio S. Clemente","43.7202226522642","11.4580666181533","8@REG234"
"8@REG235_600","Bivio S. Clemente_V","43.720182362393","11.4582360355126","8@REG235"
"8@RUF013_600","Scopeti Rufina","43.8443391575336","11.4993261995176","8@RUF013"
"8@RUF014_600","Scopeti Rufina_V","43.8445366416886","11.499460092002","8@RUF014"
"8@RUF069_600","Rufina Stazione Fs","43.8222074889925","11.4853803958799","8@RUF069"
"8@SGV002_600","San Giovanni Valdarno Coop","43.567683021064","11.5283495487486","8@SGV002"
"8@VIC052_600","Vicchio Fs","43.9339949639898","11.4578725576779","8@VIC052"
"8@VIC053_600","Vicchio Fs_V","43.9338731051641","11.4581716475073","8@VIC053"
"9@A0005_600","Arezzo Terminal","43.4623506439799","11.8752121276048","9@A0005"
"9@A02AG_600","Sr71 Opp 87 - Case Nuove Ceciliano","43.4939110886885","11.8745707010347","9@A02AG"
"9@A02BG_600","Sr71 310 Ponte Alla Chiassa","43.5247644539576","11.8667686899419","9@A02BG"
"9@A02DV_600","Sr71 57 Ponte Alla Chiassa","43.5246859987505","11.8666659829619","9@A02DV"
"9@A02EV_600","Sr71 87 - Case Nuove Ceciliano","43.4938310850093","11.874529801359","9@A02EV"
"9@A0409_600","V. Perennio 82 - Prima Pass. Livello","43.4698826990411","11.8687454090073","9@A0409"
"9@A045V_600","V. Perennio 93/E Dopo Pass. Livello","43.4698836263486","11.8683498569396","9@A045V"
"9@AA011_600","Bv. Tolomei","43.2353075790885","11.5732236435292","9@AA011"
"9@AA016_600","Bv. Aldo Moro","43.2353145237523","11.5733351396097","9@AA016"
"9@AA056_600","Arbia Scalo Bar","43.2949238912714","11.4087717008235","9@AA056"
"9@AA620_600","Via Laurentana Antica","43.2305096814804","11.5651412236284","9@AA620"
"9@AA635_600","Asciano Coop","43.2303497365686","11.5638983173666","9@AA635"
"9@AA760_600","Arbia Scalo","43.2956686356749","11.4072875786901","9@AA760"
"9@BI002_600","S.R.71 Corsalone Al Km.177,400","43.6867886054241","11.8260632762687","9@BI002"
"9@BI006_600","Bibbiena Stazione","43.6935356520712","11.8097556154516","9@BI006"
"9@BI009_600","S.R.71 Corsalone Stazione","43.6869012215202","11.8258783684343","9@BI009"
"9@BV976_600","Zambra","43.5019257556709","11.1101633694469","9@BV976"
"9@BV977_600","Zambra","43.5018338875224","11.1101502729747","9@BV977"
"9@CK018_600","Camucia Stazione","43.2616151890913","11.9715422226287","9@CK018"
"9@CK061_600","Terontola Stazione","43.2111004537893","12.0083127803738","9@CK061"
"9@CM002_600","Subbiano Stazione","43.573860044532","11.8655872434436","9@CM002"
"9@CM053_600","Capolona Via V.Veneto Nc.85","43.5630493202223","11.8557391732366","9@CM053"
"9@CM060_600","Capolona Via Marconi Ang. Via Petrarca","43.5635722283694","11.856148463051","9@CM060"
"9@CS064_600","Stazione","43.547677335214","11.0382228526661","9@CS064"
"9@CS067_600","Viale Matteotti (Suore)","43.5459378036141","11.0394686470814","9@CS067"
"9@CV001_600","Chiusi Stazione-P.Zza Dante","43.0017795424274","11.956998866376","9@CV001"
"9@FA101_600","Rassina Via F.Lli Piva Di Fronte Nc.1","43.651572183566","11.8352887405494","9@FA101"
"9@FA102_600","Rassina Via F.Lli Piva Dopo Nc.1","43.6516229293311","11.8354417117308","9@FA102"
"9@FD012_600","S.P.71 Al N.C. 69 Di Fronte Agip","43.3411893943636","11.9172890084292","9@FD012"
"9@G0013_600","Grosseto F.S.","42.7684510571034","11.1072475245321","9@G0013"
"9@MT247_600","Cast.Na Scalo Stazione","43.4084474279632","11.2112680818776","9@MT247"
"9@PN980_600","Paganico (Hotel Pace)","42.9292269107371","11.26593705873","9@PN980"
"9@PR400_600","Piazza Mazzini [4]","43.4673941478749","11.1481467451195","9@PR400"
"9@PR500_600","Poggibonsi Fs [1]","43.4676187625183","11.1488710198948","9@PR500"
"9@PX001_600","Stia Stazione","43.7948629237195","11.7148054375236","9@PX001"
"9@PY013_600","Ss.70 Poppi Via Roma Di Fronte Nc.48","43.730178276924","11.7676959026708","9@PY013"
"9@PY055_600","Ss.70 Poppi P.Zza Risorgimento","43.7304012907611","11.7674098096773","9@PY055"
"9@PY062_600","Ss.310 Porrena Di Fronte Nc.46","43.7437946993597","11.7459248269324","9@PY062"
"9@PY123_600","Ss.310 Porrena Nc.48","43.7439178159172","11.7459194058575","9@PY123"
"9@RT139_600","Rapolano-S.Sebastiano","43.2843599153129","11.6049170801255","9@RT139"
"9@S0008_600","Ferrovia","43.331558761069","11.3226242028564","9@S0008"
"9@ST816_600","Sinalunga F.S.","43.2160395837777","11.7443537621587","9@ST816"
"9@SY081_600","S.R.71 Loc. Calbenzano (Ristorante)","43.6124028495601","11.8650720966818","9@SY081"
"9@SY100_600","S.R.71 Bivio Calbenzano Stazione","43.610036168818","11.8645375000904","9@SY100"
"9@SY125_600","Santa Mama S.R.71 Casa La Brina","43.6283232455188","11.8546151559049","9@SY125"
"9@SY142_600","Santa Mama S.R.71 Pass. A Livello","43.6278550130288","11.8537023384278","9@SY142"
"FI0002_600","Firenze Stazione S.M.N.","43.7760106015037","11.248231179099","FI0002"
