route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1034457352","4286_243914","4286_14","Firenze Stazione S.M.N.","","1","3155510846"
"1034457352","4286_243914","4286_16","Firenze Stazione S.M.N.","","1","2204680137"
"1034457352","4286_243906","4286_18","Stazione 5","","1","3729720167"
"1034457352","4286_243906","4286_20","Firenze Stazione S.M.N.","","0","1346757009"
"1034457352","4286_243918","4286_21","Arezzo Terminal","","0","2898548757"
"1034457352","4286_243911","4286_22","Firenze Stazione S.M.N.","","0","1346757009"
"1034457352","4286_243914","4286_23","Firenze Stazione S.M.N.","","0","3530371277"
"1034457352","4286_243913","4286_24","Empoli Autostazione","","1","2276264401"
"1034457352","4286_243920","4286_25","Ferrovia","","0","127549739"
"1034457352","4286_243914","4286_26","Ferrovia","","1","132160742"
"1034457352","4286_243907","4286_27","Ferrovia","","0","3206963820"
"1034457352","4286_243917","4286_28","Ferrovia","","1","3027517687"
"1034457352","4286_243915","4286_29","Chiusi Stazione-P.Zza Dante","","0","3279187674"
"1034457352","4286_243917","4286_31","Chiusi Stazione-P.Zza Dante","","0","2061005754"
"1034457352","4286_243917","4286_32","Ferrovia","","1","2797504877"
"1034457352","4286_243908","4286_33","Ferrovia","","0","3206963820"
"1034457352","4286_243905","4286_34","Stazione 5","","1","3729720167"
"1034457352","4286_243905","4286_36","Firenze Stazione S.M.N.","","0","1346757009"
"1034457352","4286_243914","4286_51002583","Firenze Stazione S.M.N.","","1","98627061"
"1034457352","4286_243912","4286_51002584","Figline Valdarno","","0","3025297579"
"1034457352","4286_243913","4286_51002585","Firenze Stazione S.M.N.","","1","766618292"
"1034457352","4286_243913","4286_51002586","Borgo San Lorenzo Fs","","0","1739880744"
"1034457352","4286_243914","4286_51002587","Pontassieve Fs","","1","894427660"
"1034457352","4286_243914","4286_51002588","Borgo San Lorenzo Fs","","0","1034457352"
"1034457352","4286_243914","4286_51002589","Pontassieve Fs","","1","894427660"
"1034457352","4286_243914","4286_51002590","Borgo San Lorenzo Fs","","0","1034457352"
"1034457352","4286_243914","4286_51002591","Pontassieve Fs","","1","894427660"
"1034457352","4286_243914","4286_51002592","Borgo San Lorenzo Fs","","0","1034457352"
"1034457352","4286_243914","4286_51002593","Pontassieve Fs","","1","894427660"
"1034457352","4286_243914","4286_51002594","Borgo San Lorenzo Fs","","0","1034457352"
"1445720679","4286_243922","4286_50003443","Stia Stazione","","0","2834313438"
"1445720679","4286_243921","4286_50003444","Bibbiena Stazione","","0","3637144094"
"1445720679","4286_243922","4286_50003445","Subbiano Stazione","","0","3705644432"
"1445720679","4286_243922","4286_50003446","Stia Stazione","","0","560806348"
"1445720679","4286_243921","4286_50003447","Bibbiena Stazione","","0","3637144094"
"1445720679","4286_243923","4286_50003448","Arezzo Terminal","","1","92186467"
