service_id,date,exception_type
"4155_357133","20230427","1"
"4155_357133","20230428","1"
"4155_357133","20230429","1"
"4155_357135","20230429","1"
"4155_357137","20230429","1"
"4155_357138","20230430","1"
"4155_357141","20230427","1"
"4155_357141","20230428","1"
"4155_357143","20230429","1"
"4155_357144","20230427","1"
"4155_357144","20230428","1"
"4155_357145","20230427","1"
"4155_357145","20230428","1"
"4155_357145","20230429","1"
"4155_357146","20230427","1"
"4155_357146","20230428","1"
"4155_357148","20230427","1"
"4155_357148","20230428","1"
"4155_357148","20230429","1"
"4155_357150","20230430","1"
"4155_357151","20230430","1"
"4155_357153","20230427","1"
"4155_357153","20230428","1"
"4155_357154","20230427","1"
"4155_357154","20230428","1"
"4155_357154","20230429","1"
"4155_357156","20230429","1"
"4155_357157","20230427","1"
"4155_357157","20230428","1"
"4155_357157","20230429","1"
"4155_357158","20230427","1"
"4155_357158","20230428","1"
"4155_357159","20230427","1"
"4155_357159","20230428","1"
"4155_357160","20230427","1"
"4155_357160","20230428","1"
"4155_357160","20230429","1"
"4155_357161","20230427","1"
"4155_357161","20230428","1"
"4155_357162","20230427","1"
"4155_357162","20230428","1"
"4155_357163","20230427","1"
"4155_357163","20230428","1"
"4155_357164","20230427","1"
"4155_357164","20230428","1"
"4155_357164","20230429","1"
"4155_357165","20230429","1"
"4155_357166","20230427","1"
"4155_357166","20230428","1"
"4155_357167","20230427","1"
"4155_357167","20230428","1"
"4316_311716","20230502","1"
"4316_311716","20230503","1"
"4316_311716","20230504","1"
"4316_311716","20230505","1"
"4316_311716","20230506","1"
"4316_311716","20230508","1"
"4316_311716","20230509","1"
"4316_311716","20230510","1"
"4316_311716","20230511","1"
"4316_311716","20230512","1"
"4316_311716","20230513","1"
"4316_311716","20230515","1"
"4316_311716","20230516","1"
"4316_311716","20230517","1"
"4316_311716","20230518","1"
"4316_311716","20230519","1"
"4316_311716","20230520","1"
"4316_311716","20230522","1"
"4316_311716","20230523","1"
"4316_311716","20230524","1"
"4316_311716","20230525","1"
"4316_311716","20230526","1"
"4316_311716","20230527","1"
"4316_311716","20230529","1"
"4316_311716","20230530","1"
"4316_311716","20230531","1"
"4316_311716","20230601","1"
"4316_311716","20230603","1"
"4316_311716","20230605","1"
"4316_311716","20230606","1"
"4316_311716","20230607","1"
"4316_311716","20230608","1"
"4316_311716","20230609","1"
"4316_311716","20230610","1"
"4316_311716","20230915","1"
"4316_311716","20230916","1"
"4316_311716","20230918","1"
"4316_311716","20230919","1"
"4316_311716","20230920","1"
"4316_311716","20230921","1"
"4316_311716","20230922","1"
"4316_311716","20230923","1"
"4316_311716","20230925","1"
"4316_311716","20230926","1"
"4316_311716","20230927","1"
"4316_311716","20230928","1"
"4316_311716","20230929","1"
"4316_311716","20230930","1"
"4316_311716","20231002","1"
"4316_311716","20231003","1"
"4316_311716","20231004","1"
