service_id,date,exception_type
"4283_471358","20230427","1"
"4283_471358","20230428","1"
"4283_471359","20230427","1"
"4283_471359","20230428","1"
"4283_471359","20230429","1"
"4283_471360","20230427","1"
"4283_471360","20230428","1"
"4283_471363","20230427","1"
"4283_471363","20230428","1"
"4283_471364","20230429","1"
"4283_471367","20230430","1"
"4283_471368","20230430","1"
"4283_471369","20230427","1"
"4283_471369","20230428","1"
"4283_471369","20230429","1"
"4283_471371","20230427","1"
"4283_471371","20230428","1"
"4283_471371","20230429","1"
"4283_471372","20230427","1"
"4283_471372","20230428","1"
"4283_471372","20230429","1"
"4283_471373","20230427","1"
"4283_471373","20230428","1"
"4283_471374","20230430","1"
"4283_471375","20230430","1"
"4283_471376","20230429","1"
"4283_471378","20230429","1"
"4283_471379","20230427","1"
"4283_471379","20230428","1"
"4283_471379","20230429","1"
"4283_471380","20230427","1"
"4283_471380","20230428","1"
"4283_471380","20230429","1"
"4283_471381","20230427","1"
"4283_471381","20230428","1"
"4283_471381","20230429","1"
"4283_471381","20230430","1"
"4283_471383","20230429","1"
"4283_471384","20230427","1"
"4283_471384","20230428","1"
"4283_471387","20230427","1"
"4283_471387","20230428","1"
"4283_471387","20230429","1"
"4283_471388","20230427","1"
"4283_471388","20230428","1"
"4283_471389","20230430","1"
"4283_471390","20230428","1"
"4283_471391","20230427","1"
"4283_471391","20230428","1"
"4283_471392","20230427","1"
"4283_471392","20230428","1"
"4283_471395","20230427","1"
"4283_471395","20230428","1"
"4283_471395","20230429","1"
"4283_471396","20230427","1"
"4283_471396","20230428","1"
"4283_471397","20230427","1"
"4283_471397","20230428","1"
"4283_471397","20230429","1"
"4283_471398","20230427","1"
"4283_471398","20230428","1"
"4283_471398","20230429","1"
"4283_471399","20230427","1"
"4283_471399","20230428","1"
"4283_471399","20230429","1"
"4283_471400","20230427","1"
"4283_471400","20230428","1"
"4283_471400","20230429","1"
"4283_471401","20230427","1"
"4283_471401","20230428","1"
"4283_471402","20230427","1"
"4283_471402","20230428","1"
"4283_471403","20230427","1"
"4283_471403","20230428","1"
"4283_471403","20230429","1"
"4283_471404","20230427","1"
"4283_471404","20230428","1"
"4283_471404","20230429","1"
"4283_471405","20230429","1"
"4283_471406","20230427","1"
"4283_471406","20230428","1"
"4283_471407","20230427","1"
"4283_471407","20230428","1"
"4283_471407","20230429","1"
"4317_473711","20230506","1"
"4317_473711","20230513","1"
"4317_473711","20230520","1"
"4317_473711","20230527","1"
"4317_473711","20230603","1"
"4317_473711","20230610","1"
"4317_473711","20230916","1"
