trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4283_60000508","20:25:00","20:25:00","9@PR400_600","1","0"
"4283_60000508","20:26:00","20:26:00","9@PR437_600","2",".257"
"4283_60000508","20:26:00","20:26:00","9@PR511_600","3",".498"
"4283_60000508","20:27:00","20:27:00","9@PR512_600","4",".673"
"4283_60000508","20:27:00","20:27:00","9@PR513_600","5",".889"
"4283_60000508","20:27:00","20:27:00","9@PR514_600","6","1.127"
"4283_60000508","20:28:00","20:28:00","9@PR913_600","7","1.422"
"4283_60000508","20:28:00","20:28:00","9@PR515_600","8","1.604"
"4283_60000508","20:29:00","20:29:00","9@PR516_600","9","1.812"
"4283_60000508","20:30:00","20:30:00","9@PR085_600","10","2.526"
"4283_60000508","20:30:00","20:30:00","9@PR451_600","11","2.657"
"4283_60000508","20:31:00","20:31:00","9@PR517_600","12","2.909"
"4283_60000508","20:32:00","20:32:00","9@PR518_600","13","3.525"
"4283_60000508","20:34:00","20:34:00","9@PR519_600","14","4.268"
"4283_60000508","20:34:00","20:34:00","9@PR520_600","15","4.582"
"4283_60000508","20:35:00","20:35:00","9@PR999_600","16","4.916"
"4283_60000508","20:35:00","20:35:00","9@PR600_600","17","5.148"
"4283_60000508","20:36:00","20:36:00","9@PR016_600","18","5.455"
"4283_60000508","20:36:00","20:36:00","9@PR393_600","19","5.676"
"4283_60000508","20:37:00","20:37:00","9@PR522_600","20","5.908"
"4283_60000508","20:38:00","20:38:00","9@PR523_600","21","6.444"
"4283_60000508","20:40:00","20:40:00","9@PR524_600","22","7.284"
"4283_60000508","20:40:00","20:40:00","9@PR525_600","23","7.65"
"4283_60000508","20:41:00","20:41:00","9@PR526_600","24","8.146"
"4283_60000508","20:42:00","20:42:00","9@PR527_600","25","8.525"
"4283_60000508","20:43:00","20:43:00","9@PR528_600","26","8.779"
"4283_60000508","20:43:00","20:43:00","9@PR529_600","27","9.022"
"4283_60000508","20:44:00","20:44:00","9@PR530_600","28","9.509"
"4283_60000508","20:45:00","20:45:00","9@PR532_600","29","9.782"
"4283_60000510","20:45:00","20:45:00","9@PR532_600","1","0"
"4283_60000510","20:45:00","20:45:00","9@PR533_600","2",".203"
"4283_60000510","20:45:00","20:45:00","9@PR534_600","3",".384"
"4283_60000510","20:46:00","20:46:00","9@PR535_600","4",".671"
"4283_60000510","20:46:00","20:46:00","9@PR536_600","5","1.063"
"4283_60000510","20:47:00","20:47:00","9@PR537_600","6","1.564"
"4283_60000510","20:48:00","20:48:00","9@PR538_600","7","1.929"
"4283_60000510","20:49:00","20:49:00","9@PR539_600","8","2.845"
"4283_60000510","20:50:00","20:50:00","9@PR540_600","9","3.31"
"4283_60000510","20:52:00","20:52:00","9@PR541_600","10","3.563"
"4283_60000510","20:53:00","20:53:00","9@PR542_600","11","3.812"
"4283_60000510","20:53:00","20:53:00","9@PR543_600","12","4.152"
"4283_60000510","20:55:00","20:55:00","9@PR544_600","13","4.894"
"4283_60000510","20:56:00","20:56:00","9@PR545_600","14","5.54"
"4283_60000510","20:57:00","20:57:00","9@PR085_600","15","6.072"
"4283_60000510","20:57:00","20:57:00","9@PR451_600","16","6.203"
"4283_60000510","20:59:00","20:59:00","9@PR546_600","17","6.729"
"4283_60000510","20:59:00","20:59:00","9@PR547_600","18","6.92"
"4283_60000510","21:00:00","21:00:00","9@PR548_600","19","7.116"
"4283_60000510","21:00:00","21:00:00","9@PR549_600","20","7.436"
"4283_60000510","21:01:00","21:01:00","9@PR550_600","21","7.657"
"4283_60000510","21:01:00","21:01:00","9@PR551_600","22","7.863"
"4283_60000510","21:01:00","21:01:00","9@PR552_600","23","8.072"
"4283_60000510","21:03:00","21:03:00","9@PR400_600","24","8.743"
"4283_91501","14:05:00","14:05:00","9@BV963_600","1","0"
"4283_91501","14:06:00","14:06:00","9@BV964_600","2",".293"
"4283_91501","14:06:00","14:06:00","9@BV965_600","3",".46"
"4283_91501","14:09:00","14:09:00","9@BV966_600","4","1.365"
"4283_91501","14:10:00","14:10:00","9@BV977_600","5","1.911"
"4283_91501","14:13:00","14:13:00","9@BV418_600","6","3.072"
"4283_91501","14:13:00","14:13:00","9@BV419_600","7","3.256"
"4283_91501","14:14:00","14:14:00","9@BV420_600","8","3.457"
"4283_91501","14:15:00","14:15:00","9@BV421_600","9","3.829"
"4283_91501","14:16:00","14:16:00","9@BV422_600","10","4.323"
"4283_91501","14:16:00","14:16:00","9@BV870_600","11","4.472"
"4283_91501","14:16:00","14:16:00","9@BV423_600","12","4.647"
"4283_91501","14:17:00","14:17:00","9@BV424_600","13","4.948"
"4283_91501","14:18:00","14:18:00","9@PR425_600","14","5.22"
"4283_91501","14:19:00","14:19:00","9@PR426_600","15","5.48"
"4283_91501","14:19:00","14:19:00","9@PR427_600","16","5.671"
"4283_91501","14:20:00","14:20:00","9@PR429_600","17","6.128"
"4283_91501","14:20:00","14:20:00","9@PR430_600","18","6.343"
"4283_91501","14:21:00","14:21:00","9@PR431_600","19","6.549"
"4283_91501","14:21:00","14:21:00","9@PR432_600","20","6.79"
"4283_91501","14:23:00","14:23:00","9@PR491_600","21","7.354"
"4283_91501","14:23:00","14:23:00","9@PR492_600","22","7.598"
"4283_91501","14:24:00","14:24:00","9@PR434_600","23","7.827"
"4283_91501","14:25:00","14:25:00","9@PR400_600","24","8.378"
"4283_91502","13:50:00","13:50:00","9@PR400_600","1","0"
"4283_91502","13:51:00","13:51:00","9@PR401_600","2",".301"
"4283_91502","13:52:00","13:52:00","9@PR402_600","3",".553"
"4283_91502","13:52:00","13:52:00","9@PR403_600","4",".727"
"4283_91502","13:53:00","13:53:00","9@PR406_600","5",".93"
"4283_91502","13:53:00","13:53:00","9@PR411_600","6","1.279"
"4283_91502","13:54:00","13:54:00","9@PR408_600","7","1.462"
"4283_91502","13:54:00","13:54:00","9@PR409_600","8","1.872"
"4283_91502","13:55:00","13:55:00","9@PR410_600","9","2.143"
"4283_91502","13:56:00","13:56:00","9@BV411_600","10","2.446"
"4283_91502","13:57:00","13:57:00","9@BV412_600","11","2.711"
"4283_91502","13:57:00","13:57:00","9@BV912_600","12","2.872"
"4283_91502","13:57:00","13:57:00","9@BV413_600","13","3.049"
"4283_91502","13:58:00","13:58:00","9@BV414_600","14","3.513"
"4283_91502","13:59:00","13:59:00","9@BV415_600","15","3.893"
"4283_91502","13:59:00","13:59:00","9@BV416_600","16","4.115"
"4283_91502","14:00:00","14:00:00","9@BV417_600","17","4.374"
"4283_91502","14:02:00","14:02:00","9@BV976_600","18","5.456"
"4283_91502","14:03:00","14:03:00","9@BV959_600","19","6.005"
"4283_91502","14:04:00","14:04:00","9@BV960_600","20","6.898"
"4283_91502","14:04:00","14:04:00","9@BV961_600","21","7.088"
"4283_91502","14:05:00","14:05:00","9@BV963_600","22","7.359"
"4283_91503","06:45:00","06:45:00","9@PR401_600","1","0"
"4283_91503","06:46:00","06:46:00","9@PR402_600","2",".252"
"4283_91503","06:46:00","06:46:00","9@PR403_600","3",".426"
"4283_91503","06:47:00","06:47:00","9@PR406_600","4",".629"
"4283_91503","06:48:00","06:48:00","9@PR411_600","5",".978"
"4283_91503","06:49:00","06:49:00","9@PR408_600","6","1.161"
"4283_91503","06:50:00","06:50:00","9@PR020_600","7","1.68"
"4283_91503","06:51:00","06:51:00","9@PR013_600","8","2.043"
"4283_91503","06:52:00","06:52:00","9@PR466_600","9","2.611"
"4283_91503","06:53:00","06:53:00","9@PR467_600","10","2.922"
"4283_91503","06:54:00","06:54:00","9@PR578_600","11","3.122"
"4283_91503","06:54:00","06:54:00","9@PR579_600","12","3.388"
"4283_91503","06:55:00","06:55:00","9@PR019_600","13","3.821"
"4283_91503","06:55:00","06:55:00","9@PR581_600","14","4.027"
"4283_91503","06:55:00","06:55:00","9@PR582_600","15","4.227"
"4283_91503","06:56:00","06:56:00","9@PR550_600","16","4.593"
"4283_91503","06:56:00","06:56:00","9@PR551_600","17","4.799"
"4283_91503","06:56:00","06:56:00","9@PR552_600","18","5.008"
"4283_91503","06:57:00","06:57:00","9@PR400_600","19","5.679"
"4283_91504","12:05:00","12:05:00","9@BV967_600","1","0"
"4283_91504","12:08:00","12:08:00","9@BV418_600","2","1.471"
"4283_91504","12:08:00","12:08:00","9@BV419_600","3","1.655"
"4283_91504","12:08:00","12:08:00","9@BV420_600","4","1.856"
"4283_91504","12:09:00","12:09:00","9@BV421_600","5","2.228"
"4283_91504","12:10:00","12:10:00","9@BV422_600","6","2.722"
"4283_91504","12:10:00","12:10:00","9@BV870_600","7","2.871"
"4283_91504","12:10:00","12:10:00","9@BV423_600","8","3.046"
"4283_91504","12:11:00","12:11:00","9@BV424_600","9","3.347"
"4283_91504","12:12:00","12:12:00","9@PR425_600","10","3.619"
"4283_91504","12:13:00","12:13:00","9@PR426_600","11","3.879"
"4283_91504","12:13:00","12:13:00","9@PR427_600","12","4.07"
"4283_91504","12:14:00","12:14:00","9@PR429_600","13","4.527"
