service_id,date,exception_type
"4284_365294","20230429","1"
"4284_365295","20230429","1"
"4284_365296","20230427","1"
"4284_365296","20230428","1"
"4284_365296","20230429","1"
"4284_365300","20230430","1"
"4284_365301","20230430","1"
"4284_365302","20230427","1"
"4284_365302","20230428","1"
"4284_365303","20230427","1"
"4284_365303","20230428","1"
"4284_365304","20230427","1"
"4284_365304","20230428","1"
"4284_365304","20230429","1"
"4284_365305","20230430","1"
"4284_365306","20230427","1"
"4284_365306","20230428","1"
"4284_365306","20230429","1"
"4284_365307","20230430","1"
"4318_245065","20230611","1"
"4318_245065","20230612","1"
"4318_245065","20230613","1"
"4318_245065","20230614","1"
"4318_245065","20230615","1"
"4318_245065","20230616","1"
"4318_245065","20230617","1"
"4318_245065","20230618","1"
"4318_245065","20230619","1"
"4318_245065","20230620","1"
"4318_245065","20230621","1"
"4318_245065","20230622","1"
"4318_245065","20230623","1"
"4318_245065","20230624","1"
"4318_245065","20230625","1"
"4318_245065","20230626","1"
"4318_245065","20230627","1"
"4318_245065","20230628","1"
"4318_245065","20230629","1"
"4318_245065","20230630","1"
"4318_245065","20230701","1"
"4318_245065","20230702","1"
"4318_245065","20230703","1"
"4318_245065","20230704","1"
"4318_245065","20230705","1"
"4318_245065","20230706","1"
"4318_245065","20230707","1"
"4318_245065","20230708","1"
"4318_245065","20230709","1"
"4318_245065","20230710","1"
"4318_245065","20230711","1"
"4318_245065","20230712","1"
"4318_245065","20230713","1"
"4318_245065","20230714","1"
"4318_245065","20230715","1"
"4318_245065","20230716","1"
"4318_245065","20230717","1"
"4318_245065","20230718","1"
"4318_245065","20230719","1"
"4318_245065","20230720","1"
"4318_245065","20230721","1"
"4318_245065","20230722","1"
"4318_245065","20230723","1"
"4318_245065","20230724","1"
"4318_245065","20230725","1"
"4318_245065","20230726","1"
"4318_245065","20230727","1"
"4318_245065","20230728","1"
"4318_245065","20230729","1"
"4318_245065","20230730","1"
"4318_245065","20230731","1"
"4318_245065","20230801","1"
"4318_245065","20230802","1"
"4318_245065","20230803","1"
"4318_245065","20230804","1"
"4318_245065","20230805","1"
"4318_245065","20230806","1"
"4318_245065","20230807","1"
"4318_245065","20230808","1"
"4318_245065","20230809","1"
"4318_245065","20230810","1"
"4318_245065","20230811","1"
"4318_245065","20230812","1"
"4318_245065","20230813","1"
"4318_245065","20230814","1"
"4318_245065","20230815","1"
"4318_245065","20230816","1"
"4318_245065","20230817","1"
"4318_245065","20230818","1"
"4318_245065","20230819","1"
"4318_245065","20230820","1"
"4318_245065","20230821","1"
"4318_245065","20230822","1"
"4318_245065","20230823","1"
"4318_245065","20230824","1"
"4318_245065","20230825","1"
"4318_245065","20230826","1"
"4318_245065","20230827","1"
"4318_245065","20230828","1"
"4318_245065","20230829","1"
"4318_245065","20230830","1"
"4318_245065","20230831","1"
"4318_245065","20230901","1"
"4318_245065","20230902","1"
"4318_245065","20230903","1"
"4318_245065","20230904","1"
"4318_245065","20230905","1"
"4318_245065","20230906","1"
"4318_245065","20230907","1"
"4318_245065","20230908","1"
"4318_245065","20230909","1"
"4318_245065","20230910","1"
"4318_245065","20230911","1"
"4318_245065","20230912","1"
"4318_245065","20230913","1"
"4318_245065","20230914","1"
"4318_245066","20230506","1"
"4318_245066","20230513","1"
"4318_245066","20230520","1"
"4318_245066","20230527","1"
"4318_245066","20230603","1"
"4318_245066","20230610","1"
"4318_245066","20230617","1"
"4318_245066","20230624","1"
"4318_245066","20230701","1"
"4318_245066","20230708","1"
"4318_245066","20230715","1"
"4318_245066","20230722","1"
"4318_245066","20230729","1"
"4318_245066","20230805","1"
"4318_245066","20230812","1"
"4318_245066","20230819","1"
"4318_245066","20230826","1"
"4318_245066","20230902","1"
"4318_245066","20230909","1"
"4318_245066","20230916","1"
"4318_245066","20230923","1"
"4318_245066","20230930","1"
"4318_245066","20231007","1"
"4318_245066","20231014","1"
"4318_245066","20231021","1"
"4318_245066","20231028","1"
"4318_245066","20231104","1"
"4318_245066","20231111","1"
"4318_245066","20231118","1"
"4318_245066","20231125","1"
"4318_245066","20231202","1"
"4318_245066","20231209","1"
"4318_245066","20231216","1"
"4318_245066","20231223","1"
"4318_245066","20231230","1"
"4318_245067","20230506","1"
"4318_245067","20230513","1"
"4318_245067","20230520","1"
"4318_245067","20230527","1"
"4318_245067","20230603","1"
"4318_245067","20230610","1"
"4318_245067","20230617","1"
"4318_245067","20230624","1"
"4318_245067","20230701","1"
"4318_245067","20230708","1"
"4318_245067","20230715","1"
"4318_245067","20230722","1"
"4318_245067","20230729","1"
"4318_245067","20230805","1"
"4318_245067","20230812","1"
"4318_245067","20230819","1"
"4318_245067","20230826","1"
"4318_245067","20230902","1"
"4318_245067","20230909","1"
"4318_245067","20230916","1"
"4318_245067","20230923","1"
"4318_245067","20230930","1"
"4318_245067","20231007","1"
"4318_245067","20231014","1"
"4318_245067","20231021","1"
"4318_245067","20231028","1"
"4318_245067","20231104","1"
"4318_245068","20230502","1"
"4318_245068","20230503","1"
"4318_245068","20230504","1"
"4318_245068","20230505","1"
"4318_245068","20230506","1"
"4318_245068","20230508","1"
"4318_245068","20230509","1"
"4318_245068","20230510","1"
"4318_245068","20230511","1"
"4318_245068","20230512","1"
"4318_245068","20230513","1"
"4318_245068","20230515","1"
"4318_245068","20230516","1"
"4318_245068","20230517","1"
"4318_245068","20230518","1"
"4318_245068","20230519","1"
"4318_245068","20230520","1"
"4318_245068","20230522","1"
"4318_245068","20230523","1"
"4318_245068","20230524","1"
"4318_245068","20230525","1"
"4318_245068","20230526","1"
"4318_245068","20230527","1"
"4318_245068","20230529","1"
"4318_245068","20230530","1"
"4318_245068","20230531","1"
"4318_245068","20230601","1"
"4318_245068","20230603","1"
