trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"4284_11998199","13:30:00","13:30:00","9@GS697_600","1","0"
"4284_11998199","13:30:00","13:30:00","9@GS698_600","2",".351"
"4284_11998199","13:30:00","13:30:00","9@GSU38_600","3",".534"
"4284_11998199","13:31:00","13:31:00","9@GSU88_600","4",".886"
"4284_11998199","13:31:00","13:31:00","9@GSU86_600","5","1.198"
"4284_11998199","13:33:00","13:33:00","9@GSU84_600","6","2.012"
"4284_11998199","13:34:00","13:34:00","9@GSU76_600","7","2.704"
"4284_11998199","13:37:00","13:37:00","9@GSU77_600","8","5.163"
"4284_11998199","13:40:00","13:40:00","9@GSU78_600","9","6.971"
"4284_11998199","13:48:00","13:48:00","9@GS185_600","10","12.331"
"4284_11998199","13:49:00","13:49:00","3@B2573_600","11","12.547"
"4284_11998199","13:50:00","13:50:00","9@GS186_600","12","12.686"
"4284_60000192","18:50:00","18:50:00","9@GS186_600","1","0"
"4284_60000192","18:51:00","18:51:00","3@B2521_600","2",".201"
"4284_60000192","18:52:00","18:52:00","9@GS184_600","3",".8"
"4284_60000192","19:00:00","19:00:00","9@GSU79_600","4","5.836"
"4284_60000192","19:02:00","19:02:00","9@GSU80_600","5","7.645"
"4284_60000192","19:06:00","19:06:00","9@GSU82_600","6","10.123"
"4284_60000192","19:07:00","19:07:00","9@GSU83_600","7","10.786"
"4284_60000192","19:07:00","19:07:00","9@GSU85_600","8","11.185"
"4284_60000192","19:07:00","19:07:00","9@GSU87_600","9","11.582"
"4284_60000192","19:07:00","19:07:00","9@GSU89_600","10","11.984"
"4284_60000192","19:09:00","19:09:00","9@GSU01_600","11","12.415"
"4284_60000192","19:10:00","19:10:00","9@GS694_600","12","12.986"
"4284_60000192","19:10:00","19:10:00","9@GS697_600","13","13.045"
"4284_60000193","07:00:00","07:00:00","9@GS697_600","1","0"
"4284_60000193","07:00:00","07:00:00","9@GS698_600","2",".351"
"4284_60000193","07:00:00","07:00:00","9@GSU38_600","3",".534"
"4284_60000193","07:01:00","07:01:00","9@GSU88_600","4",".886"
"4284_60000193","07:01:00","07:01:00","9@GSU86_600","5","1.198"
"4284_60000193","07:03:00","07:03:00","9@GSU84_600","6","2.012"
"4284_60000193","07:04:00","07:04:00","9@GSU76_600","7","2.704"
"4284_60000193","07:07:00","07:07:00","9@GSU77_600","8","5.163"
"4284_60000193","07:10:00","07:10:00","9@GSU78_600","9","6.971"
"4284_60000193","07:18:00","07:18:00","9@GS185_600","10","12.331"
"4284_60000193","07:19:00","07:19:00","3@B2573_600","11","12.547"
"4284_60000193","07:20:00","07:20:00","9@GS186_600","12","12.686"
"4284_60000194","18:15:00","18:15:00","9@GS697_600","1","0"
"4284_60000194","18:15:00","18:15:00","9@GS698_600","2",".351"
"4284_60000194","18:15:00","18:15:00","9@GSU38_600","3",".534"
"4284_60000194","18:16:00","18:16:00","9@GSU88_600","4",".886"
"4284_60000194","18:16:00","18:16:00","9@GSU86_600","5","1.198"
"4284_60000194","18:18:00","18:18:00","9@GSU84_600","6","2.012"
"4284_60000194","18:19:00","18:19:00","9@GSU76_600","7","2.704"
"4284_60000194","18:22:00","18:22:00","9@GSU77_600","8","5.163"
"4284_60000194","18:25:00","18:25:00","9@GSU78_600","9","6.971"
"4284_60000194","18:33:00","18:33:00","9@GS185_600","10","12.331"
"4284_60000194","18:34:00","18:34:00","3@B2573_600","11","12.547"
"4284_60000194","18:35:00","18:35:00","9@GS186_600","12","12.686"
"4284_60000195","14:20:00","14:20:00","9@GS186_600","1","0"
"4284_60000195","14:21:00","14:21:00","3@B2521_600","2",".201"
"4284_60000195","14:22:00","14:22:00","9@GS184_600","3",".8"
"4284_60000195","14:30:00","14:30:00","9@GSU79_600","4","5.836"
"4284_60000195","14:32:00","14:32:00","9@GSU80_600","5","7.645"
"4284_60000195","14:36:00","14:36:00","9@GSU82_600","6","10.123"
"4284_60000195","14:37:00","14:37:00","9@GSU83_600","7","10.786"
"4284_60000195","14:37:00","14:37:00","9@GSU85_600","8","11.185"
"4284_60000195","14:37:00","14:37:00","9@GSU87_600","9","11.582"
"4284_60000195","14:37:00","14:37:00","9@GSU89_600","10","11.984"
"4284_60000195","14:39:00","14:39:00","9@GSU01_600","11","12.415"
"4284_60000195","14:40:00","14:40:00","9@GS694_600","12","12.986"
"4284_60000195","14:40:00","14:40:00","9@GS697_600","13","13.045"
"4284_60000196","07:35:00","07:35:00","9@GS186_600","1","0"
"4284_60000196","07:36:00","07:36:00","3@B2521_600","2",".201"
"4284_60000196","07:37:00","07:37:00","9@GS184_600","3",".8"
"4284_60000196","07:45:00","07:45:00","9@GSU79_600","4","5.836"
"4284_60000196","07:47:00","07:47:00","9@GSU80_600","5","7.645"
"4284_60000196","07:51:00","07:51:00","9@GSU82_600","6","10.123"
"4284_60000196","07:52:00","07:52:00","9@GSU83_600","7","10.786"
"4284_60000196","07:52:00","07:52:00","9@GSU85_600","8","11.185"
"4284_60000196","07:52:00","07:52:00","9@GSU87_600","9","11.582"
"4284_60000196","07:52:00","07:52:00","9@GSU89_600","10","11.984"
"4284_60000196","07:54:00","07:54:00","9@GSU01_600","11","12.415"
"4284_60000196","07:55:00","07:55:00","9@GS694_600","12","12.986"
"4284_60000196","07:55:00","07:55:00","9@GS697_600","13","13.045"
"4284_60000290","07:55:00","07:55:00","9@GS710_600","1","0"
"4284_60000290","07:55:00","07:55:00","9@GSU45_600","2",".179"
"4284_60000290","07:56:00","07:56:00","9@GS886_600","3",".621"
"4284_60000290","07:56:00","07:56:00","9@GS712_600","4",".843"
"4284_60000290","07:57:00","07:57:00","9@GSU61_600","5","1.015"
"4284_60000290","07:57:00","07:57:00","9@GSU60_600","6","1.118"
"4284_60000290","07:58:00","07:58:00","9@GS887_600","7","1.385"
"4284_60000290","07:58:00","07:58:00","9@GS713_600","8","1.653"
"4284_60000290","07:59:00","07:59:00","9@GSU49_600","9","2.048"
"4284_60000290","07:59:00","07:59:00","9@GS714_600","10","2.133"
"4284_60000290","08:00:00","08:00:00","9@GS971_600","11","2.473"
"4284_60000290","08:00:00","08:00:00","9@GSU37_600","12","2.951"
"4284_60000290","08:01:00","08:01:00","9@GSU01_600","13","3.529"
"4284_60000290","08:02:00","08:02:00","9@GSU02_600","14","3.834"
"4284_60000290","08:03:00","08:03:00","9@GSU03_600","15","3.976"
"4284_60000290","08:04:00","08:04:00","9@GSU04_600","16","4.17"
"4284_60000290","08:04:00","08:04:00","9@GSU05_600","17","4.388"
"4284_60000290","08:05:00","08:05:00","9@GSU06_600","18","4.742"
"4284_60000290","08:05:00","08:05:00","9@GS882_600","19","5.07"
"4284_60000290","08:06:00","08:06:00","9@GS694_600","20","5.563"
"4284_60000290","08:07:00","08:07:00","9@GS663_600","21","5.92"
"4284_60000290","08:07:00","08:07:00","9@GS695_600","22","6.277"
"4284_60000290","08:08:00","08:08:00","9@GSU19_600","23","6.858"
"4284_60000290","08:09:00","08:09:00","9@GSU65_600","24","7.201"
"4284_60000290","08:09:00","08:09:00","9@GSU2A_600","25","7.362"
"4284_60000290","08:10:00","08:10:00","9@GSU20_600","26","7.572"
"4284_60000290","08:11:00","08:11:00","9@GSU21_600","27","7.877"
"4284_60000290","08:12:00","08:12:00","9@GSU22_600","28","8.114"
"4284_60000290","08:12:00","08:12:00","9@GSU23_600","29","8.265"
"4284_60000290","08:14:00","08:14:00","9@GS715_600","30","8.726"
"4284_60000290","08:14:00","08:14:00","9@GSU25_600","31","8.994"
"4284_60000290","08:15:00","08:15:00","9@GSU26_600","32","9.235"
"4284_60000291","20:35:00","20:35:00","9@GS710_600","1","0"
"4284_60000291","20:35:00","20:35:00","9@GSU45_600","2",".179"
"4284_60000291","20:36:00","20:36:00","9@GS886_600","3",".621"
"4284_60000291","20:36:00","20:36:00","9@GS712_600","4",".843"
"4284_60000291","20:37:00","20:37:00","9@GSU61_600","5","1.015"
"4284_60000291","20:37:00","20:37:00","9@GSU60_600","6","1.118"
"4284_60000291","20:38:00","20:38:00","9@GS887_600","7","1.385"
"4284_60000291","20:38:00","20:38:00","9@GS713_600","8","1.653"
"4284_60000291","20:39:00","20:39:00","9@GSU49_600","9","2.048"
"4284_60000291","20:39:00","20:39:00","9@GS714_600","10","2.133"
"4284_60000291","20:40:00","20:40:00","9@GS971_600","11","2.473"
"4284_60000291","20:40:00","20:40:00","9@GSU37_600","12","2.951"
"4284_60000291","20:41:00","20:41:00","9@GSU01_600","13","3.529"
"4284_60000291","20:42:00","20:42:00","9@GSU02_600","14","3.834"
"4284_60000291","20:43:00","20:43:00","9@GSU03_600","15","3.976"
"4284_60000291","20:44:00","20:44:00","9@GSU04_600","16","4.17"
"4284_60000291","20:44:00","20:44:00","9@GSU05_600","17","4.388"
"4284_60000291","20:45:00","20:45:00","9@GSU06_600","18","4.742"
"4284_60000291","20:45:00","20:45:00","9@GS882_600","19","5.07"
"4284_60000291","20:46:00","20:46:00","9@GS694_600","20","5.563"
"4284_60000291","20:47:00","20:47:00","9@GS663_600","21","5.92"
"4284_60000291","20:47:00","20:47:00","9@GS695_600","22","6.277"
"4284_60000291","20:48:00","20:48:00","9@GSU19_600","23","6.858"
"4284_60000291","20:49:00","20:49:00","9@GSU65_600","24","7.201"
"4284_60000291","20:49:00","20:49:00","9@GSU2A_600","25","7.362"
"4284_60000291","20:50:00","20:50:00","9@GSU20_600","26","7.572"
"4284_60000291","20:51:00","20:51:00","9@GS069_600","27","8.01"
"4284_60000291","20:52:00","20:52:00","9@GSU21_600","28","8.599"
"4284_60000291","20:52:00","20:52:00","9@GSU22_600","29","8.836"
"4284_60000291","20:52:00","20:52:00","9@GSU23_600","30","8.987"
"4284_60000291","20:54:00","20:54:00","9@GS715_600","31","9.448"
"4284_60000291","20:54:00","20:54:00","9@GSU25_600","32","9.716"
"4284_60000291","20:55:00","20:55:00","9@GSU26_600","33","9.957"
"4284_60801001","10:35:00","10:35:00","9@GS710_600","1","0"
"4284_60801001","10:35:00","10:35:00","9@GSU45_600","2",".179"
"4284_60801001","10:36:00","10:36:00","9@GS886_600","3",".621"
"4284_60801001","10:36:00","10:36:00","9@GS712_600","4",".843"
"4284_60801001","10:37:00","10:37:00","9@GSU61_600","5","1.015"
"4284_60801001","10:37:00","10:37:00","9@GSU60_600","6","1.118"
"4284_60801001","10:38:00","10:38:00","9@GS887_600","7","1.385"
